IDBOOK,IDSUBJ,NTEACH,TCHWGT,JKREP,JKZONE,ASRREA01,ASRREA02,ASRREA03,ASRREA04,ASRREA05,ATBG01,ATBG04,ATBG05BC,ATBG05BI,ATBG07AD,ASBG01,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGHRL,ASBGSCR,ACBG09,ACBG15,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY
,,,,,,ACHIEV1,ACHIEV2,ACHIEV3,ACHIEV4,ACHIEV5,TEACH,EDUCA,PEDAG,ASSESS,PDTEACH,GEND,DIGIT,BELONG,BULLY,ENGAGE,DISORD,LIKE,HOME,CONFID,COMPU,PRINCIP,SHORT,SUCCESS,DISCIP,HOURS
66,1,1,4.852941,1,40,499.44668,487.15735,486.73041,468.03947,519.77943,28,5,2,1,1,2,999999,999999,10.82031,11.53704,999999,12.98699,8.94299,999999,458,2,9.4933,7.23401,9.92826,1108.33333
18,1,1,4.852941,1,40,579.06932,650.65754,630.52949,644.08893,624.62337,28,5,2,1,1,1,10.12086,8.23773,10.965,7.63232,7.86603,8.04592,999999,8.72693,458,2,9.4933,7.23401,9.92826,1108.33333
4,1,1,4.852941,1,40,604.30891,618.42213,591.35266,589.74334,619.57572,28,5,2,1,1,1,9.25019,10.82106,12.56749,11.54818,10.57259,10.45984,11.74392,8.72693,458,2,9.4933,7.23401,9.92826,1108.33333
20,1,1,4.852941,1,40,541.98073,498.29331,490.45016,538.50204,536.892,28,5,2,1,1,2,9.51164,9.82079,7.24426,8.28542,10.21804,9.86291,9.29058,8.72693,458,2,9.4933,7.23401,9.92826,1108.33333
5,1,1,4.852941,1,40,531.15306,540.39422,548.59762,556.86243,540.34961,28,5,2,1,1,1,9.51164,12.85262,9.85265,11.27175,5.92238,10.15574,9.70247,10.28978,458,2,9.4933,7.23401,9.92826,1108.33333
6,1,1,4.852941,1,40,540.13018,576.32893,597.68683,558.89761,537.62054,28,5,2,1,1,2,12.60945,12.85262,12.56749,13.33453,9.60657,11.30153,10.89263,13.45388,458,2,9.4933,7.23401,9.92826,1108.33333
21,1,1,4.852941,1,40,504.97385,542.03397,530.57708,565.61737,536.66184,28,5,2,1,1,2,12.60945,12.85262,8.18398,13.33453,8.31437,10.83607,12.29825,11.76022,458,2,9.4933,7.23401,9.92826,1108.33333
10,1,1,4.852941,1,40,576.79988,548.97526,586.67293,604.03275,591.72104,28,5,2,1,1,1,14.77909,12.85262,9.52871,10.66007,12.18062,10.45984,10.89263,10.90567,458,2,9.4933,7.23401,9.92826,1108.33333
11,1,1,4.852941,1,40,590.45672,554.43462,576.30739,517.53692,540.06255,28,5,2,1,1,2,8.77882,6.93638,12.56749,7.63232,9.89746,10.83607,10.22238,13.45388,458,2,9.4933,7.23401,9.92826,1108.33333
